beacon_id,ble_rssi_norm,distance_est_norm,zone
BLE_Beacon_02,0.0911,1.0,Zone_C
BLE_Beacon_04,0.2468,0.4855,Zone_A
BLE_Beacon_09,0.1397,1.0,Zone_D
BLE_Beacon_01,0.0948,1.0,Zone_B
BLE_Beacon_04,0.4685,0.0813,Zone_A
BLE_Beacon_09,0.2277,0.5665,Zone_D
BLE_Beacon_04,0.4244,0.1161,Zone_C
BLE_Beacon_01,0.6676,0.0163,Zone_B
BLE_Beacon_07,0.3388,0.2314,Zone_B
BLE_Beacon_04,0.8235,0.0047,Zone_C
BLE_Beacon_02,0.1443,1.0,Zone_A
BLE_Beacon_06,0.7373,0.0093,Zone_C
BLE_Beacon_01,0.6448,0.0196,Zone_A
BLE_Beacon_07,0.1333,1.0,Zone_C
BLE_Beacon_10,0.7671,0.0073,Zone_C
BLE_Beacon_10,0.2225,0.5905,Zone_A
BLE_Beacon_01,0.591,0.0303,Zone_C
BLE_Beacon_02,0.7435,0.0089,Zone_A
BLE_Beacon_07,0.2898,0.3432,Zone_C
BLE_Beacon_03,0.3623,0.1914,Zone_B
BLE_Beacon_05,0.6229,0.0234,Zone_A
BLE_Beacon_10,0.5703,0.0358,Zone_B
BLE_Beacon_03,0.4346,0.1069,Zone_C
BLE_Beacon_09,0.244,0.4967,Zone_C
BLE_Beacon_01,0.2514,0.4679,Zone_A
BLE_Beacon_06,0.3866,0.1573,Zone_A
BLE_Beacon_04,0.7889,0.0062,Zone_C
BLE_Beacon_04,0.5864,0.0314,Zone_D
BLE_Beacon_08,0.1837,0.8074,Zone_B
BLE_Beacon_04,0.6568,0.0178,Zone_C
BLE_Beacon_10,0.4081,0.1324,Zone_D
BLE_Beacon_06,0.2438,0.4976,Zone_B
BLE_Beacon_09,0.4592,0.0877,Zone_A
BLE_Beacon_02,0.1915,0.758,Zone_B
BLE_Beacon_07,0.54,0.0457,Zone_D
BLE_Beacon_07,0.5396,0.0458,Zone_D
BLE_Beacon_09,0.269,0.4061,Zone_A
BLE_Beacon_02,0.6071,0.0266,Zone_C
BLE_Beacon_06,0.1591,0.9845,Zone_D
BLE_Beacon_03,0.4279,0.1128,Zone_C
BLE_Beacon_09,0.6701,0.016,Zone_A
BLE_Beacon_05,0.7327,0.0097,Zone_B
BLE_Beacon_03,0.3652,0.187,Zone_B
BLE_Beacon_09,0.8206,0.0048,Zone_A
BLE_Beacon_10,0.3261,0.2562,Zone_A
BLE_Beacon_02,0.8014,0.0056,Zone_C
BLE_Beacon_04,0.1169,1.0,Zone_A
BLE_Beacon_02,0.6465,0.0194,Zone_A
BLE_Beacon_09,0.6732,0.0156,Zone_B
BLE_Beacon_08,0.8154,0.005,Zone_B
BLE_Beacon_05,0.486,0.0706,Zone_D
BLE_Beacon_04,0.8013,0.0056,Zone_B
BLE_Beacon_05,0.3849,0.1595,Zone_C
BLE_Beacon_08,0.7783,0.0067,Zone_D
BLE_Beacon_02,0.2662,0.4152,Zone_A
BLE_Beacon_06,0.088,1.0,Zone_B
BLE_Beacon_10,0.2445,0.4948,Zone_A
BLE_Beacon_01,0.2513,0.4682,Zone_A
BLE_Beacon_06,0.1271,1.0,Zone_B
BLE_Beacon_05,0.5971,0.0289,Zone_B
BLE_Beacon_09,0.1754,0.8633,Zone_D
BLE_Beacon_04,0.6879,0.0139,Zone_D
BLE_Beacon_04,0.1455,1.0,Zone_D
BLE_Beacon_06,0.4042,0.1365,Zone_D
BLE_Beacon_01,0.6005,0.0281,Zone_A
BLE_Beacon_01,0.3878,0.1559,Zone_C
BLE_Beacon_02,0.2668,0.4132,Zone_B
BLE_Beacon_09,0.4239,0.1165,Zone_D
BLE_Beacon_03,0.2903,0.342,Zone_B
BLE_Beacon_02,0.4196,0.1206,Zone_A
BLE_Beacon_01,0.5838,0.0321,Zone_A
BLE_Beacon_02,0.7993,0.0057,Zone_B
BLE_Beacon_03,0.3908,0.1522,Zone_D
BLE_Beacon_04,0.7508,0.0084,Zone_A
BLE_Beacon_03,0.3692,0.1811,Zone_D
BLE_Beacon_05,0.7994,0.0057,Zone_D
BLE_Beacon_05,0.4038,0.137,Zone_D
BLE_Beacon_03,0.2206,0.5995,Zone_B
BLE_Beacon_01,0.5265,0.051,Zone_A
BLE_Beacon_06,0.1163,1.0,Zone_D
BLE_Beacon_09,0.7938,0.0059,Zone_B
BLE_Beacon_01,0.8263,0.0045,Zone_A
BLE_Beacon_03,0.1253,1.0,Zone_A
BLE_Beacon_04,0.3887,0.1547,Zone_B
BLE_Beacon_10,0.5386,0.0462,Zone_A
BLE_Beacon_07,0.5879,0.0311,Zone_C
BLE_Beacon_05,0.2319,0.5474,Zone_C
BLE_Beacon_04,0.2801,0.3712,Zone_B
BLE_Beacon_05,0.4307,0.1103,Zone_A
BLE_Beacon_01,0.4315,0.1096,Zone_A
BLE_Beacon_02,0.4939,0.0663,Zone_C
BLE_Beacon_03,0.8047,0.0054,Zone_A
BLE_Beacon_04,0.3618,0.1922,Zone_B
BLE_Beacon_08,0.7265,0.0102,Zone_C
BLE_Beacon_10,0.8445,0.0039,Zone_A
BLE_Beacon_09,0.3067,0.2997,Zone_A
BLE_Beacon_03,0.2792,0.3739,Zone_A
BLE_Beacon_09,0.1936,0.7456,Zone_C
BLE_Beacon_10,0.2369,0.5257,Zone_C
BLE_Beacon_04,0.6116,0.0257,Zone_C
BLE_Beacon_09,0.4553,0.0905,Zone_A
BLE_Beacon_02,0.5698,0.036,Zone_C
BLE_Beacon_01,0.0742,1.0,Zone_B
BLE_Beacon_05,0.1984,0.7172,Zone_D
BLE_Beacon_09,0.6259,0.0229,Zone_A
BLE_Beacon_02,0.1305,1.0,Zone_B
BLE_Beacon_09,0.0997,1.0,Zone_C
BLE_Beacon_10,0.5056,0.0603,Zone_D
BLE_Beacon_03,0.1043,1.0,Zone_C
BLE_Beacon_01,0.7777,0.0067,Zone_B
BLE_Beacon_04,0.5954,0.0292,Zone_C
BLE_Beacon_09,0.7661,0.0074,Zone_D
BLE_Beacon_10,0.6603,0.0173,Zone_B
BLE_Beacon_03,0.8384,0.0041,Zone_B
BLE_Beacon_07,0.0909,1.0,Zone_C
BLE_Beacon_07,0.7018,0.0124,Zone_B
BLE_Beacon_05,0.1965,0.7281,Zone_A
BLE_Beacon_07,0.7567,0.008,Zone_D
BLE_Beacon_04,0.2282,0.5639,Zone_D
BLE_Beacon_06,0.3112,0.2889,Zone_B
BLE_Beacon_04,0.09,1.0,Zone_B
BLE_Beacon_07,0.3293,0.2496,Zone_A
BLE_Beacon_05,0.3473,0.2159,Zone_D
BLE_Beacon_09,0.3316,0.2451,Zone_A
BLE_Beacon_02,0.7605,0.0077,Zone_C
BLE_Beacon_03,0.5276,0.0505,Zone_C
BLE_Beacon_01,0.1566,1.0,Zone_D
BLE_Beacon_06,0.6439,0.0198,Zone_C
BLE_Beacon_07,0.5477,0.0429,Zone_A
BLE_Beacon_07,0.7782,0.0067,Zone_B
BLE_Beacon_05,0.1063,1.0,Zone_D
BLE_Beacon_01,0.4799,0.0742,Zone_B
BLE_Beacon_06,0.4103,0.13,Zone_C
BLE_Beacon_10,0.3181,0.2734,Zone_A
BLE_Beacon_05,0.4699,0.0804,Zone_D
BLE_Beacon_06,0.3876,0.1561,Zone_C
BLE_Beacon_09,0.1714,0.8912,Zone_D
BLE_Beacon_07,0.6036,0.0274,Zone_B
BLE_Beacon_10,0.5186,0.0543,Zone_D
BLE_Beacon_09,0.7265,0.0102,Zone_C
BLE_Beacon_05,0.2366,0.5272,Zone_C
BLE_Beacon_08,0.4185,0.1216,Zone_B
BLE_Beacon_09,0.4432,0.0997,Zone_B
BLE_Beacon_02,0.2944,0.3308,Zone_C
BLE_Beacon_02,0.7145,0.0112,Zone_B
BLE_Beacon_05,0.2479,0.4811,Zone_B
BLE_Beacon_03,0.0906,1.0,Zone_B
BLE_Beacon_08,0.5517,0.0416,Zone_A
BLE_Beacon_08,0.3971,0.1446,Zone_B
BLE_Beacon_07,0.4599,0.0872,Zone_B
BLE_Beacon_03,0.5869,0.0313,Zone_A
BLE_Beacon_02,0.683,0.0144,Zone_B
BLE_Beacon_03,0.7032,0.0123,Zone_D
BLE_Beacon_01,0.5094,0.0585,Zone_A
BLE_Beacon_08,0.1762,0.8577,Zone_D
BLE_Beacon_09,0.8476,0.0038,Zone_C
BLE_Beacon_08,0.5528,0.0412,Zone_D
BLE_Beacon_09,0.4218,0.1185,Zone_B
BLE_Beacon_08,0.4251,0.1154,Zone_B
BLE_Beacon_05,0.6731,0.0156,Zone_D
BLE_Beacon_04,0.2872,0.3506,Zone_A
BLE_Beacon_05,0.2557,0.452,Zone_C
BLE_Beacon_06,0.7731,0.007,Zone_A
