accel_x_norm,accel_y_norm,accel_z_norm,gyro_mag_norm,activity_state
0.7716,0.9693,0.2017,0.1478,Walking
0.5309,0.8896,0.9936,0.6125,Micro_Vibration
0.4349,0.9498,0.8003,0.455,Walking
0.5388,0.7558,0.0445,0.3326,Tap_Pattern
0.5893,0.9651,0.0628,0.8296,Tap_Pattern
0.929,0.9141,0.6088,0.2309,Walking
0.8348,0.2229,0.2647,0.8915,Stationary
0.8167,0.6684,0.5796,0.3948,Stationary
0.5307,0.0405,0.952,0.4492,Tap_Pattern
0.0023,0.0478,0.0761,0.8033,Tap_Pattern
0.0163,0.8685,0.7328,0.7668,Walking
0.7689,0.6633,0.4966,0.5802,Walking
0.7797,0.8552,0.9256,0.389,Walking
0.1772,0.6561,0.0142,0.4295,Walking
0.6468,0.9466,0.0207,0.1299,Walking
0.169,0.2923,0.2571,0.1619,Tap_Pattern
0.2041,0.1639,0.0976,0.9317,Walking
0.9979,0.6916,0.639,0.0762,Micro_Vibration
0.8732,0.853,0.0033,0.2396,Walking
0.9651,0.1134,0.4513,0.1214,Tap_Pattern
0.5108,0.4812,0.6144,0.7855,Walking
0.789,0.3532,0.3879,0.1893,Walking
0.7253,0.9109,0.6203,0.9694,Stationary
0.9921,0.1623,0.3421,0.5221,Micro_Vibration
0.4787,0.9247,0.6316,0.0298,Tap_Pattern
0.7927,0.4324,0.8073,0.7759,Tap_Pattern
0.2124,0.1901,0.6375,0.7735,Stationary
0.9761,0.7447,0.8345,0.9338,Tap_Pattern
0.5575,0.4579,0.3222,0.3689,Stationary
0.0364,0.1881,0.5709,0.0171,Walking
0.6487,0.4155,0.8375,0.9696,Tap_Pattern
0.0852,0.843,0.5946,0.5614,Stationary
0.5929,0.4734,0.5536,0.5516,Walking
0.1198,0.8108,0.7861,0.6381,Micro_Vibration
0.3121,0.8222,0.2935,0.8587,Stationary
0.939,0.6648,0.9984,0.6959,Tap_Pattern
0.9993,0.2807,0.8497,0.9813,Walking
0.0751,0.3084,0.2998,0.0227,Walking
0.3278,0.7118,0.8695,0.9314,Stationary
0.3625,0.0952,0.2642,0.3338,Stationary
0.1826,0.2123,0.8004,0.2315,Walking
0.3115,0.7606,0.7548,0.913,Stationary
0.8116,0.5489,0.5774,0.6905,Walking
0.9063,0.6579,0.1004,0.4036,Stationary
0.3119,0.878,0.093,0.3333,Stationary
0.1369,0.0943,0.9447,0.004,Tap_Pattern
0.0425,0.8095,0.406,0.1069,Micro_Vibration
0.5909,0.5612,0.7941,0.082,Micro_Vibration
0.1851,0.9182,0.7007,0.1039,Stationary
0.4703,0.7287,0.1267,0.7379,Micro_Vibration
0.9896,0.0053,0.523,0.2733,Micro_Vibration
0.4927,0.2379,0.4297,0.6133,Tap_Pattern
0.1925,0.5278,0.3443,0.4045,Tap_Pattern
0.9107,0.2877,0.249,0.8561,Stationary
0.7069,0.255,0.6053,0.0015,Stationary
0.4055,0.1912,0.2529,0.1282,Micro_Vibration
0.8144,0.5802,0.9672,0.2488,Stationary
0.2309,0.25,0.0466,0.0722,Tap_Pattern
0.133,0.2181,0.9594,0.5746,Micro_Vibration
0.7172,0.83,0.0138,0.107,Micro_Vibration
0.4471,0.147,0.648,0.1232,Walking
0.3251,0.4111,0.6595,0.6803,Tap_Pattern
0.6631,0.8578,0.1459,0.3892,Micro_Vibration
0.87,0.8581,0.6623,0.4899,Walking
0.4375,0.2521,0.4333,0.1586,Stationary
0.7483,0.5243,0.2038,0.1104,Walking
0.1407,0.2793,0.4262,0.0138,Stationary
0.5865,0.3478,0.6443,0.4493,Walking
0.8395,0.9635,0.2696,0.4804,Tap_Pattern
0.9048,0.0171,0.2344,0.4859,Micro_Vibration
0.9865,0.5517,0.6419,0.1447,Walking
0.7212,0.522,0.6899,0.2718,Walking
0.7464,0.0203,0.5672,0.8848,Micro_Vibration
0.8988,0.2521,0.2443,0.9577,Micro_Vibration
0.6275,0.9775,0.0034,0.9586,Walking
0.7685,0.7697,0.4197,0.3413,Tap_Pattern
0.1934,0.1085,0.3063,0.7642,Walking
0.696,0.2719,0.1995,0.402,Walking
0.0961,0.4719,0.1963,0.2449,Stationary
0.8578,0.3569,0.7589,0.5325,Tap_Pattern
0.2276,0.9575,0.0164,0.0763,Micro_Vibration
0.2313,0.8666,0.205,0.4124,Stationary
0.1026,0.9898,0.5486,0.7184,Micro_Vibration
0.738,0.2185,0.0969,0.2565,Tap_Pattern
0.1203,0.2804,0.5886,0.4498,Micro_Vibration
0.0935,0.9236,0.6118,0.0935,Walking
0.7911,0.5369,0.6291,0.7609,Stationary
0.476,0.2771,0.167,0.7573,Stationary
0.9262,0.4895,0.9923,0.7957,Walking
0.1001,0.5037,0.2293,0.5757,Stationary
0.4271,0.349,0.3569,0.4524,Micro_Vibration
0.0269,0.0975,0.6272,0.0214,Walking
0.1925,0.8223,0.2342,0.0452,Micro_Vibration
0.1959,0.2091,0.1326,0.4609,Tap_Pattern
0.2256,0.1345,0.1179,0.9122,Micro_Vibration
0.3666,0.7566,0.7611,0.8347,Tap_Pattern
0.1539,0.0633,0.9012,0.4737,Stationary
0.1714,0.0351,0.1751,0.8429,Tap_Pattern
0.1085,0.7644,0.2118,0.1537,Stationary
0.4346,0.6997,0.1662,0.7137,Walking
0.8864,0.1574,0.9972,0.5328,Micro_Vibration
0.9536,0.4249,0.6109,0.7947,Walking
0.3157,0.6063,0.9262,0.7983,Stationary
0.1963,0.2955,0.7726,0.4649,Stationary
0.8747,0.1153,0.6945,0.9008,Micro_Vibration
0.737,0.5335,0.8572,0.5601,Tap_Pattern
0.9093,0.5807,0.7376,0.1352,Micro_Vibration
0.539,0.2318,0.1264,0.908,Stationary
0.2415,0.5523,0.3391,0.5376,Walking
0.2611,0.5489,0.8281,0.044,Tap_Pattern
0.8502,0.2053,0.8029,0.2205,Stationary
0.518,0.6248,0.0714,0.7209,Stationary
0.7377,0.3218,0.1646,0.2763,Walking
0.03,0.7655,0.78,0.7753,Stationary
0.8629,0.7231,0.0836,0.1649,Stationary
0.0826,0.1904,0.9531,0.0983,Walking
0.0572,0.6308,0.9686,0.0258,Micro_Vibration
0.9884,0.3128,0.6722,0.7947,Walking
0.7525,0.2608,0.085,0.8128,Tap_Pattern
0.2872,0.5222,0.768,0.1506,Walking
0.5014,0.7883,0.3141,0.4689,Tap_Pattern
0.4673,0.0441,0.0489,0.662,Micro_Vibration
0.3779,0.6367,0.0887,0.7239,Walking
0.53,0.4052,0.563,0.2358,Micro_Vibration
0.7977,0.5117,0.9907,0.3696,Stationary
0.3662,0.8216,0.7851,0.3753,Stationary
0.5525,0.0394,0.4698,0.4067,Micro_Vibration
0.4102,0.856,0.5583,0.6181,Stationary
0.7724,0.7786,0.9531,0.8562,Micro_Vibration
0.1258,0.0607,0.802,0.9281,Tap_Pattern
0.2528,0.5286,0.8902,0.9152,Stationary
0.2616,0.7333,0.9622,0.6438,Tap_Pattern
0.4984,0.9309,0.5157,0.3781,Micro_Vibration
0.5283,0.0642,0.2678,0.1549,Stationary
0.1415,0.4001,0.6779,0.726,Walking
0.4076,0.1586,0.2427,0.4198,Micro_Vibration
0.3683,0.7252,0.5283,0.2139,Walking
0.9608,0.2518,0.462,0.0408,Tap_Pattern
0.2916,0.9822,0.3899,0.3547,Walking
0.7577,0.8663,0.0423,0.4033,Micro_Vibration
0.7211,0.369,0.5435,0.187,Micro_Vibration
0.9592,0.9114,0.0233,0.0846,Tap_Pattern
0.3077,0.7921,0.8631,0.513,Stationary
0.772,0.7308,0.3684,0.5561,Micro_Vibration
0.8304,0.2754,0.7255,0.1343,Stationary
0.6737,0.3399,0.2897,0.6391,Walking
0.2388,0.9165,0.2089,0.765,Walking
0.1943,0.5262,0.5871,0.8835,Stationary
0.3947,0.2219,0.1414,0.1022,Stationary
0.7113,0.4547,0.4665,0.8786,Stationary
0.5444,0.6065,0.1986,0.5933,Micro_Vibration
0.4926,0.1347,0.644,0.9994,Stationary
0.8824,0.8548,0.7234,0.9562,Tap_Pattern
0.7584,0.3274,0.3893,0.4617,Tap_Pattern
